Name,Empty1,Population,Empty2,Year,Type,Empty3
Higginsville,,"4,817",,2022,"city, city_fourth_class",
High Hill,,186,,2022,"city, city_fourth_class",
High Ridge,,"4,242",,2022,"city, census_designated_place",
Highlandville,,963,,2022,"city, city_fourth_class",
Hillsboro,,"3,473",,2022,"city, county_seat, city_fourth_class",
Hillsdale,,"1,216",,2022,"city, village",
Hoberg,,48,,2022,"city, village",
Holcomb,,642,,2022,"city, city_fourth_class",
Holden,,"2,210",,2022,"city, city_third_class",
Holland,,194,,2022,"city, city_fourth_class",
Holliday,,114,,2022,"city, village",
Hollister,,"4,583",,2022,"city, city_fourth_class",
Hollywood,,24,,2022,"city, census_designated_place",
Holt,,471,,2022,"city, city_fourth_class",
Holt,,"4,223",,2022,"county, county_third_class_wo_township_form",
Holts Summit,,"4,458",,2022,"city, city_fourth_class",
Homestead,,192,,2022,"city, village",
Homestown,,73,,2022,"city, city_fourth_class",
Hopkins,,472,,2022,"city, city_fourth_class",
Horine,,657,,2022,"city, census_designated_place",
Hornersville,,537,,2022,"city, city_fourth_class",
Houston,,"2,079",,2022,"city, county_seat, city_fourth_class",
Houston Lake,,229,,2022,"city, city_fourth_class",
Houstonia,,198,,2022,"city, city_fourth_class",
Howard,,"10,151",,2022,"county, county_third_class_wo_township_form",
Howardville,,277,,2022,"city, city_fourth_class",
Howell,,"39,750",,2022,"county, county_third_class_wo_township_form",
Hughesville,,150,,2022,"city, village",
Humansville,,907,,2022,"city, city_fourth_class",
Hume,,283,,2022,"city, city_fourth_class",
Humphreys,,89,,2022,"city, village",
Hunnewell,,139,,2022,"city, city_fourth_class",
Hunter,,95,,2022,"city, census_designated_place",
Huntleigh,,361,,2022,"city, city_fourth_class",
Huntsdale,,29,,2022,"city, village",
Huntsville,,"1,376",,2022,"city, county_seat, city_third_class",
Hurdland,,155,,2022,"city, city_fourth_class",
Hurley,,176,,2022,"city, city_fourth_class",
Iantha,,95,,2022,"city, census_designated_place",
Iatan,,39,,2022,"city, village",
Iberia,,703,,2022,"city, city_fourth_class",
Imperial,,"4,407",,2022,"city, census_designated_place",
Independence,,"123,011",,2022,"city, county_seat, home_rule_city",
Indian Lake,,689,,2022,"city, census_designated_place",
Indian Point,,550,,2022,"city, village",
Innsbrook,,596,,2022,"city, village",
Ionia,,71,,2022,"city, village",
Irena,,14,,2022,"city, village",
Iron,,"9,537",,2022,"county, county_third_class_wo_township_form",
Iron Mountain Lake,,640,,2022,"city, city_fourth_class",
Irondale,,368,,2022,"city, city_fourth_class",
Ironton,,"1,475",,2022,"city, county_seat, city_fourth_class",
Irwin,,47,,2022,"city, census_designated_place",
Jackson,,"15,481",,2022,"city, county_seat, city_fourth_class",
Jackson,,"717,204",,2022,"county, county_w_charter",
Jacksonville,,122,,2022,"city, village",
Jameson,,73,,2022,"city, village",
Jamesport,,559,,2022,"city, city_fourth_class",
Jamestown,,330,,2022,"city, city_fourth_class",
Jane,,359,,2022,"city, village",
