Name,Type,Population,Class,CountySeat
Frohna,city,245,city fourth class,Perry
Frontenac,city,3612,city fourth class,St. Louis
Fulton,city,12600,city home rule,Callaway
Gainesville,city,745,city fourth class,Ozark
Galena,city,455,city fourth class,Stone
Gallatin,city,1821,city fourth class,Daviess
Galt,city,168,city fourth class,Grundy
Garden City,city,1629,city fourth class,Cass
Gasconade,city,172,city fourth class,Gasconade
Gasconade,county,14794,county third class without township,Hermann
Gentry,city,56,village,Gentry
Gentry,county,6162,county third class with township,Albany
Gerald,city,1361,city fourth class,Franklin
Gerster,city,21,village,St. Clair
Gibbs,city,70,village,Adair
Gideon,city,780,city fourth class,New Madrid
Gilliam,city,175,city fourth class,Saline
Gilman City,city,329,city fourth class,Harrison
Ginger Blue,city,37,village,McDonald
Gladstone,city,27063,city third class,Clay
Glasgow,city,1087,city fourth class,"Charition, Howard"
Glasgow Village,city,4584,census designated place,St. Louis
Glen Allen,city,57,village,Bollinger
Glen Echo Park,city,122,village,St. Louis
Glenaire,city,539,city fourth class,Clay
Glendale,city,6176,city fourth class,St. Louis
Glenwood,city,181,village,Schuyler
Golden,city,275,census designated place,Barry
Golden City,city,656,city fourth class,Barton
Goodman,city,1202,city fourth class,McDonald
Goose Creek Lake,city,524,census designated place,"St. Francis, Ste. Genevieve"
Gordonville,city,625,village,Cape Girardeau
Goss,city,0,village,Monroe
Gower,city,1533,city fourth class,"Buchanan, Clinton"
Graham,city,147,city fourth class,Nodaway
Grain Valley,city,15627,city fourth class,Jackson
Granby,city,2050,city fourth class,Newton
Grand Falls Plaza,city,103,village,Newton
Grand Pass,city,49,village,Saline
Grandin,city,226,city fourth class,Carter
Grandview,city,26209,city fourth class,Jackson
Granger,city,22,village,Scotland
Grant City,city,817,city fourth class,Worth
Grantwood,city,941,village,St. Louis
Gravois Mills,city,129,village,Morgan
Gray Summit,city,3055,census designated place,Franklin
Grayhawk,city,488,census designated place,Ste. Genevieve
Grayridge,city,87,census designated place,Stoddard
Grayson,city,61,village,Clinton
Green Castle,city,224,NA,Sullivan
Green City,city,602,city fourth class,Sullivan
Green Park,city,2705,city fourth class,St. Louis
Green Ridge,city,468,city fourth class,Pettis
Greendale,city,642,city fourth class,St. Louis
Greene,county,298915,county first class,Springfield
Greenfield,city,1220,city fourth class,Dade
Greentop,city,388,city fourth class,"Adair, Schuyler"
Greenville,city,443,city fourth class,Wayne
Greenwood,city,6021,city fourth class,Jackson
Grovespring,city,187,census designated place,Wright
Grundy,county,9808,county third class with township,Trenton
Guilford,city,60,village,Nodaway
Gunn City,city,80,village,Cass
Hale,city,375,city fourth class,Carroll
Halfway,city,151,village,Polk
Hallsville,city,1614,city fourth class,Boone
Halltown,city,104,village,Lawrence
Hamilton,city,1690,city fourth class,Caldwell
Hanley Hills,city,2009,village,St. Louis
Hannibal,city,17108,city home rule,"Marion, Ralls"
Hardin,city,571,city fourth class,Ray
Harris,city,65,city fourth class,Sullivan
Harrisburg,city,271,village,Boone
Harrison,county,8157,county third class with township,Bethany
Harrisonville,city,10121,city fourth class,Cass
Hartsburg,city,133,village,Boone
Hartville,city,594,city fourth class,Wright
Hartwell,city,15,census designated place,Henry
Harviell,city,98,census designated place,Butler
Harwood,city,29,village,Vernon
Hawk Point,city,676,city fourth class,Lincoln
Hayti,city,2493,city fourth class,Pemiscot
Hayti Heights,city,515,city fourth class,Pemiscot
Hayward,city,93,census designated place,Pemiscot
Haywood City,city,133,village,Scott
Hazelwood,city,25458,city home rule,St. Louis
Henrietta,city,278,city fourth class,Ray
Henry,county,21946,county third class with township,Clinton
Herculaneum,city,4672,city fourth class,Jefferson
Hermann,city,2185,city fourth class,Gasconade
Hermitage,city,621,city fourth class,Hickory
Hickory,county,8279,county third class without township,Hermitage
Higbee,city,459,city fourth class,Randolph
Higginsville,city,4817,city fourth class,Lafayette
High Hill,city,186,city fourth class,Montgomery
High Ridge,city,4242,census designated place,Jefferson
Highlandville,city,963,city fourth class,Christian
Hillsboro,city,3473,city fourth class,Jefferson
Hillsdale,city,1216,village,St. Louis
Hoberg,city,48,village,Lawrence
Holcomb,city,642,city fourth class,Dunklin
Holden,city,2210,city third class,Johnson
Holland,city,194,city fourth class,Pemiscot
Holliday,city,114,village,Monroe
Hollister,city,4583,city fourth class,Taney
Hollywood,city,24,census designated place,Dunklin
Holt,city,471,city fourth class,"Clay, Clinton"
Holt,county,4223,county third class without township,Oregon
Holts Summit,city,4458,city fourth class,Callaway
Homestead,city,192,village,Ray
Homestown,city,73,city fourth class,Pemiscot
