Name,Population,Class,County,Seat
Montgomery City,2811,4th,Montgomery,
Monticello,104,Village,Lewis,
Montier,49,CDP,Shannon,
Montreal,119,CDP,Camden,
Montrose,383,4th,Henry,
Mooresville,98,Village,Livingston,
Morehouse,741,4th,New Madrid,
Morley,630,4th,Scott,
Morrison,93,4th,Gasconade,
Morrisville,376,4th,Polk,
Mosby,101,4th,Clay,
Moscow Mills,3317,4th,Lincoln,
Mound City,1004,4th,Holt,
Moundville,78,Village,Vernon,
Mount Leonard,65,Village,Saline,
Mount Moriah,75,Village,Harrison,
Mount Vernon,4526,4th,Lawrence,
Mountain Grove,4313,4th,Texas/Wright,
Mountain View,2533,4th,Howell,
Murphy,8425,CDP,Jefferson,
Napoleon,211,4th,Lafayette,
Naylor,440,4th,Ripley,
Neck City,228,4th,Jasper,
Neelyville,318,4th,Butler,
Nelson,152,4th,Saline,
Neosho,12590,Home Rule,Newton,
Nevada,8212,Home Rule,Vernon,
New Bloomfield,687,4th,Callaway,
New Cambria,153,4th,Macon,
New Florence,641,4th,Montgomery,
New Franklin,1027,4th,Howard,
New Hamburg,218,CDP,Scott,
New Hampton,228,4th,Harrison,
New Haven,2414,4th,Franklin,
New London,943,4th,Ralls,
New Madrid,2787,4th,New Madrid,
New Market,88,CDP,Platte,
New Melle,541,4th,St. Charles,
New Wells,40,CDP,Perry,
Newark,54,Village,Knox,
Newburg,333,4th,Phelps,
Newtonia,204,Village,Newton,
Newtown,113,4th,Sullivan,
Niangua,390,4th,Webster,
Nixa,23257,Home Rule,Christian,
Noel,2124,4th,McDonald,
Norborne,634,4th,Carroll,
Normandy,4287,3rd,St. Louis,
North Kansas City,4467,3rd,Clay,
North Lilbourn,22,Village,New Madrid,
Northmoor,291,4th,Platte,
Northwoods,3687,4th,St. Louis,
Norwood,578,4th,Wright,
Norwood Court,890,Village,St. Louis,
Novelty,102,4th,Knox,
Novinger,383,4th,Adair,
O Fallon,91316,Home Rule,St. Charles,
Oak Grove,8157,4th,"Jackson, Lafayette",
Oak Grove Village,412,Village,Franklin,
Oak Ridge,237,Village,Cape Girardeau,
Oakland,1390,4th,St. Louis,
Oaks,128,Village,Clay,
Oakview,366,Village,Clay,
Oakville,36301,CDP,St. Louis,
Oakwood,198,Village,Clay,
Oakwood Park,189,Village,Clay,
Odessa,5593,4th,Lafayette,
Old Appleton,73,Village,Cape Girardeau,
Old Jamestown,19790,CDP,St. Louis,
Old Monroe,249,4th,Lincoln,
Olean,114,Village,Miller,
Olivette,8504,Home Rule,St. Louis,
Olympian Village,719,4th,Jefferson,
Oran,1195,4th,Scott,
Oregon,837,4th,Holt,
Oronogo,2558,4th,Jasper,
Orrick,753,4th,Ray,
Osage Beach,4637,4th,"Camden, Miller",
Osborn,374,4th,"Clinton, DeKalb",
Osceola,909,4th,St. Clair,
Osgood,24,Village,Sullivan,
Otterville,440,4th,Cooper,
Overland,15955,3rd,St. Louis,
Owensville,2757,4th,Gasconade,
Oxly,62,CDP,Ripley,
Ozark,21284,4th,Christian,
Ozora,182,CDP,Ste. Genevieve,
Pacific,7414,4th,"Franklin, St. Louis",
Pagedale,2554,4th,St. Louis,
Palmyra,3613,Home Rule,Marion,
Paradise,75,CDP,Clay,
Paris,1161,4th,Monroe,
Park Hills,8587,3rd,St. Francois,
Parkdale,159,Village,Jefferson,
Parkville,7117,4th,Platte,
Parkway,663,Village,Franklin,
Parma,555,4th,New Madrid,
Parnell,135,4th,Nodaway,
Pasadena Hills,912,4th,St. Louis,
Pasadena Park,435,Village,St. Louis,
Pascola,87,Village,Pemiscot,
Passaic,26,Village,Bates,
Pattonsburg,314,4th,Daviess,
